music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
147,BTS,Dynamite,112.35,-42.91,0.2635999917984009,0.5133000016212463,0.1075,0.07,2697.85
148,tuki.,晩餐歌 - Bansanka,103.36,-43.88,0.1996999979019165,0.3864000141620636,0.0757,0.05,2002.87
149,Brown Eyes,벌써 일년,103.36,-46.23,0.028200000524520874,0.06679999828338623,0.107,0.06,2207.9
150,Lim Jae Hyun,If there was practice in love,136.0,-46.63,0.16369999945163727,0.3718000054359436,0.0763,0.06,1582.82
151,Lim Young Woong,Lovely Touch,69.84,-39.78,0.2863999903202057,0.5303999781608582,0.0937,0.07,2134.98
152,SZA,Snooze,143.55,-46.61,0.23800000548362732,0.4887999892234802,0.0586,0.04,1697.98
153,HYUKOH,TOMBOY,73.83,-42.99,0.21539999544620514,0.40939998626708984,0.0912,0.05,2126.57
154,Lim Young Woong,Love Letter,136.0,-55.34,0.13729999959468842,0.38449999690055847,0.0407,0.04,1054.77
155,The Weeknd,Die For You,136.0,-43.03,0.2240999937057495,0.4115999937057495,0.0739,0.05,2157.82
156,BOYNEXTDOOR,"Earth, Wind & Fire",152.0,-42.78,0.31850001215934753,0.6252999901771545,0.0918,0.05,2524.21
157,"Jin, Taka",Falling (feat. Taka),129.2,-41.91,0.2865000069141388,0.5541999936103821,0.0912,0.05,2368.45
158,george,Boat,69.84,-51.16,0.1703999936580658,0.6489999890327454,0.1129,0.09,2523.7
159,"HOZIHO, Choi Sung Ho",Don't Cry,66.26,-47.3,0.2167000025510788,0.4666999876499176,0.0722,0.06,1759.89
160,Yuuri,ベテルギウス,89.1,-44.61,0.20839999616146088,0.44029998779296875,0.0906,0.06,2156.31
161,BIGBANG,BAE BAE,143.55,-44.04,0.2994999885559082,0.5432999730110168,0.0684,0.05,2128.11
162,Crush,Love You With All My Heart,136.0,-49.08,0.1826000064611435,0.40470001101493835,0.0677,0.05,1712.93
163,Lim Young Woong,Nest,143.55,-34.55,0.2513999938964844,0.4250999987125397,0.1141,0.05,2505.55
164,TWS,"If I’m S, Can You Be My N?",117.45,-41.72,0.11670000106096268,0.25130000710487366,0.1233,0.07,2767.99
