artist_names,track_name,genre,track_length_sec,release_country
Playboi Carti,CRANK,R&B/Soul,256.0,USA
"Playboi Carti, Future, Travis Scott",CHARGE DEM HOES A FEE (with Future & Travis Scott),,,
Chappell Roan,The Giver,Country,202.768,USA
"Playboi Carti, Travis Scott",WAKE UP F1LTHY (with Travis Scott),Hip-Hop/Rap,148.053,USA
"Playboi Carti, Future",TRIM (with Future),Hip-Hop/Rap,228.267,USA
Playboi Carti,COCAINE NOSE,Hip-Hop/Rap,202.162,USA
"Playboi Carti, Young Thug, Ty Dolla $ign",WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign),Hip-Hop/Rap,136.267,USA
"Playboi Carti, Lil Uzi Vert",JUMPIN (with Lil Uzi Vert),Hip-Hop/Rap,171.828,USA
Playboi Carti,HBA,Hip-Hop/Rap,191.703,USA
"Playboi Carti, Lil Uzi Vert",TWIN TRIM (with Lil Uzi Vert),Hip-Hop/Rap,207.039,USA
Playboi Carti,OLYMPIAN,,,
Playboi Carti,LIKE WEEZY,Hip-Hop/Rap,191.703,USA
Playboi Carti,OPM BABI,,,
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Pop,156.943,USA
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras) - Orchestral Version,Pop,156.943,USA
NMIXX,KNOW ABOUT ME,K-Pop,165.773,USA
NMIXX,Slingshot (＜★),K-Pop,142.613,USA
NMIXX,Papillon,K-Pop,158.04,USA
NMIXX,Golden Recipe,K-Pop,181.787,USA
"Sik-K, Lil Moshpit, Bryan Chase, Okasian","LOV3 (Feat. Bryan Chase, Okasian)",,,
NMIXX,Ocean,K-Pop,170.08,USA
OVAN,Flower,Hip-Hop/Rap,169.773,USA
"MARK, HAECHAN",+82 Pressin',K-Pop,202.4,USA
STAYC,BEBE - Japanese ver.,K-Pop,179.392,USA
Lil Tecca,Dark Thoughts,Hip-Hop/Rap,136.991,USA
MINNIE,HER,K-Pop,159.797,USA
"Car, the garden",Home Sweet Home,Rock,205.939,USA
j-hope,MONA LISA,K-Pop,137.192,USA
"Jack Harlow, Doja Cat",Just Us (feat. Doja Cat),Hip-Hop/Rap,172.877,USA
ILLIT,Almond Chocolate (Korean Ver.),K-Pop,201.76,USA
Song Sohee,Not a Dream,K-Pop,252.0,USA
BOL4,Bom,Folk,217.045,USA
LUCY,Flowering,Rock,251.293,USA
"Loco, YUJU",Spring Is Gone by chance,Soundtrack,201.0,USA
